阿联酋迪拉姆,AED
阿富汗尼,AFN
阿尔巴尼亚列克,ALL
亚美尼亚德拉姆,AMD
荷兰盾,ANG
安哥拉宽扎,AOA
阿根廷披索,ARS
澳大利亚元,AUD
阿鲁巴盾,AWG
阿塞拜疆新马纳特,AZN
波斯尼亚和黑塞哥维那可,BAM
巴巴多斯元,BBD
孟加拉国塔卡,BDT
保加利亚列瓦,BGN
巴林第纳尔,BHD
布隆迪法郎,BIF
百慕大元,BMD
文莱元,BND
玻利维亚诺,BOB
巴西雷亚尔,BRL
巴哈马元,BSD
不丹努扎姆,BTN
博茨瓦纳普拉,BWP
白俄罗斯卢布,BYR
伯利兹元,BZD
加拿大元,CAD
刚果法郎,CDF
瑞士法郎,CHF
智利比索,CLF
智利比索,CLP
离岸人民币,CNH
人民币,CNY
哥伦比亚比索,COP
哥斯达黎加科朗,CRC
古巴比索,CUP
佛得角埃斯库多,CVE
捷克克朗,CZK
吉布提法郎,DJF
丹麦克朗,DKK
多米尼加比索,DOP
阿尔及利亚第纳尔,DZD
埃及镑,EGP
厄立特里亚,ERN
埃塞俄比亚比尔,ETB
欧元,EUR
斐济元,FJD
福克兰群岛镑,FKP
英镑,GBP
格鲁吉亚拉里,GEL
加纳塞地,GHS
直布罗陀镑,GIP
冈比亚达拉西,GMD
几内亚法郎,GNF
危地马拉格查尔,GTQ
圭亚那元,GYD
港币,HKD
洪都拉斯伦皮拉,HNL
克罗地亚库纳,HRK
海地古德,HTG
匈牙利福林,HUF
印度尼西亚盾,IDR
以色列谢克尔,ILS
印度卢比,INR
伊拉克第纳尔,IQD
伊朗里亚尔,IRR
冰岛克朗,ISK
牙买加元,JMD
约旦第纳尔,JOD
日元,JPY
肯尼亚先令,KES
吉尔吉斯索姆,KGS
柬埔寨瑞尔,KHR
科摩罗法郎,KMF
朝鲜元,KPW
韩国元,KRW
科威特第纳尔,KWD
开曼群岛元,KYD
哈萨克斯坦坚戈,KZT
老挝基普,LAK
黎巴嫩镑,LBP
斯里兰卡卢比,LKR
利比里亚元,LRD
莱索托洛提,LSL
立陶宛立特,LTL
拉脱维亚拉特,LVL
利比亚第纳尔,LYD
摩洛哥迪拉姆,MAD
摩尔多瓦列伊,MDL
马达加斯加阿里亚里,MGA
马其顿第纳尔,MKD
缅元,MMK
蒙古图格里克,MNT
澳门币,MOP
毛里塔尼亚乌吉亚,MRO
毛里求斯卢比,MUR
马尔代夫拉菲亚,MVR
马拉维克瓦查,MWK
墨西哥比索,MXN
马来西亚林吉特,MYR
莫桑比克梅蒂卡尔,MZN
纳米比亚元,NAD
尼日利亚第纳尔,NGN
尼加拉瓜科多巴,NIO
挪威克朗,NOK
尼泊尔卢比,NPR
新西兰元,NZD
阿曼里亚尔,OMR
巴拿马巴波亚,PAB
秘鲁新索尔,PEN
新几内亚基那基那,PGK
菲律宾比索,PHP
巴基斯坦卢比,PKR
波兰兹罗提,PLN
巴拉圭瓜拉尼,PYG
卡塔尔里亚尔,QAR
罗马尼亚列伊,RON
塞尔维亚第纳尔,RSD
俄罗斯卢布,RUB
卢旺达法郎,RWF
沙特阿拉伯里亚尔,SAR
所罗门群岛元,SBD
塞舌尔卢比,SCR
苏丹镑,SDG
瑞典克朗,SEK
新加坡元,SGD
圣赫勒拿镑,SHP
塞拉利昂利昂,SLL
索马里先令,SOS
苏里南元,SRD
圣多美多布拉,STD
萨尔瓦多科朗,SVC
叙利亚镑,SYP
斯威士兰里兰吉尼,SZL
泰铢,THB
塔吉克斯坦索莫尼,TJS
土库曼斯坦马纳特,TMT
突尼斯第纳尔,TND
TOP,TOP
土耳其里拉,TRY
特立尼达和多巴哥元,TTD
台币,TWD
坦桑尼亚先令,TZS
乌克兰格里夫纳,UAH
乌干达先令,UGX
美元,USD
乌拉圭比索,UYU
乌兹别克斯坦索姆,UZS
委内瑞拉玻利瓦尔,VEF
越南盾,VND
瓦努阿图瓦图,VUV
萨摩亚塔拉,WST
中非法郎,XAF
东加勒比元,XCD
特别提款权（国际货币基金）,XDR
西非法郎,XOF
太平洋法郎,XPF
也门里亚尔,YER
南非兰特,ZAR
赞比亚克瓦查,ZMW
津巴布韦元,ZWL
